Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Prabakaran, R; Rawat, Puneet; Kumar, Sandeep; Gromiha, M Michael; ",ANuPP: a versatile tool to predict aggregation nucleating regions in peptides and proteins,Journal of Molecular Biology,433,11,166707,2021,Academic Press
"Rawat, Puneet; Prabakaran, R; Sakthivel, R; Mary Thangakani, A; Kumar, Sandeep; Gromiha, M Michael; ",CPAD 2.0: a repository of curated experimental data on aggregating proteins and peptides,Amyloid,27,2,128-133,2020,Taylor & Francis
"Rawat, Puneet; Prabakaran, R; Kumar, Sandeep; Gromiha, M Michael; ",AggreRATE-Pred: a mathematical model for the prediction of change in aggregation rate upon point mutation,Bioinformatics,36,5,1439-1444,2020,Oxford University Press
"Prabakaran, R; Goel, Dhruv; Kumar, Sandeep; Gromiha, M Michael; ",Aggregation prone regions in human proteome: Insights from large‐scale data analyses,"Proteins: Structure, Function, and Bioinformatics",85,6,1099-1118,2017,Wiley Online Library
"Prabakaran, R; Rawat, Puneet; Thangakani, A Mary; Kumar, Sandeep; Gromiha, M Michael; ",Protein aggregation: in silico algorithms and applications,Biophysical reviews,13,,71-89,2021,Springer Berlin Heidelberg
"Prabakaran, R; Nikam, Rahul; Kumar, Sandeep; Gromiha, M Michael; ",Influence of Amino Acid Properties for Characterizing Amyloid Peptides in Human Proteome,Intelligent Computing Theories and Application,10362,,541-548,2017,"Springer, Cham"
"Rawat, Puneet; Prabakaran, R; Kumar, Sandeep; Gromiha, M Michael; ",Exploring the sequence features determining amyloidosis in human antibody light chains,Scientific Reports,11,1,13785,2021,Nature Publishing Group UK London
"Rawat, Puneet; Prabakaran, R; Kumar, Sandeep; Gromiha, M Michael; ",AbsoluRATE: An in-silico method to predict the aggregation kinetics of native proteins,Biochimica et Biophysica Acta (BBA)-Proteins and Proteomics,1869,9,140682,2021,Elsevier
"Prabakaran, R; Rawat, Puneet; Kumar, Sandeep; Gromiha, M Michael; ",Evaluation of in silico tools for the prediction of protein and peptide aggregation on diverse datasets,Briefings in Bioinformatics,22,6,bbab240,2021,Oxford University Press
"Prabakaran, R; Rawat, Puneet; Yasuo, Nobuaki; Sekijima, Masakazu; Kumar, Sandeep; Gromiha, M Michael; ",Effect of charged mutation on aggregation of a pentapeptide: Insights from molecular dynamics simulations,"Proteins: Structure, Function, and Bioinformatics",90,2,405-417,2022,Wiley Online Library
"Prabakaran, R; Jemimah, Sherlyn; Rawat, Puneet; Sharma, Divya; Gromiha, M Michael; ",A novel hybrid SEIQR model incorporating the effect of quarantine and lockdown regulations for COVID-19,Scientific reports,11,1,24073,2021,Nature Publishing Group UK London
"Rawat, Puneet; Sharma, Divya; Pandey, Medha; Prabakaran, R; Gromiha, M Michael; ",Understanding the mutational frequency in SARS-CoV-2 proteome using structural features,Computers in biology and medicine,147,,105708,2022,Pergamon
"Prabakaran, R; Rawat, Puneet; Kumar, Sandeep; Gromiha, M Michael; Rawat, P; ",Aggregation Nucleation Prediction in Peptides and Proteins. Read more...,,,,,,
"Rawat, Puneet; Sharma, Divya; Prabakaran, R; Ridha, Fathima; Mohkhedkar, Mugdha; Janakiraman, Vani; Gromiha, M Michael; ",Ab-CoV: a curated database for binding affinity and neutralization profiles of coronavirus-related antibodies,Bioinformatics,38,16,4051-4052,2022,Oxford University Press
"Bromberg, Yana; Prabakaran, R; Kabir, Anowarul; Shehu, Amarda; ",Variant Effect Prediction in the Age of Machine Learning,Cold Spring Harbor Perspectives in Biology,,,a041467,2024,Cold Spring Harbor Lab
"Prabakaran, R; Bromberg, Y; ",Functional profiling of the sequence stockpile: a review and assessment of in silico prediction tools,bioRxiv,,,2023.07. 12.548726,2023,Cold Spring Harbor Laboratory
"Prabakaran, R; Rawat, Puneet; Kumar, Sandeep; Gromiha, M Michael; ",Deciphering the modulatory role of mutations in protein aggregation through in silico methods,"PROTEIN MUTATIONS: Consequences on Structure, Functions, and Diseases",,,3-38,2025,

